sentence,target_bigram,difficulty
harvest dress suggest rescue contest caress test west,es,1
esteem press result best mess jest address quest vessel,es,1
chest guess lesson rest yes these nestle pest eschew,es,1
less bestow express fresh interest essence request process vest bless,es,1
process express rescue less jest pest lesson flesh west caress,es,1
harvest fresh pest contest dress address these west,es,1
jest essence bless best crest address bestow less,es,1
nestle jest vest quest eschew these crest less rest fresh,es,1
quest interest gesture dress these fresh bless eschew yes,es,1
fresh bless harvest jest vessel press process result,es,1
result jest possess suppress testing assess mess eschew,es,2
blessing press best profess less messing nestle lesson,es,2
progress essence flesh compress chest resting transgress pest,es,2
crest fresh interest suggest contest gesture vesting pressing bless,es,2
caress yes redress guessing vessel rest regress express establish,es,2
process quest west vest request harvest bestow guess esteem,es,2
caress rescue eschew dress fresh lesson redress vest interest profess,es,2
vest vesting redress eschew rest bless less messing,es,2
suppress lesson press yes these suggest test interest blessing progress,es,2
establish bless lesson possess chest transgress contest gesture profess messing,es,2
contest establish messing essence obsession resting crest fresh flesh,es,3
blessing compress transgression interest testing mess esteem bless yes caress,es,3
lesson press chest guess investment process request best,es,3
rescue resistance bestow nestle vesting transgress suppress vessel,es,3
confession depression regress suggest less progress harvest recession expression,es,3
rest profession jest west address vest assessment impression redress,es,3
dressing establishment these succession express assess result profess nesting,es,3
test eschew dress resources suppression possess possession gesture quest guessing,es,3
dress messing west transgression obsession vessel guessing fresh,es,3
express resting rescue blessing flesh interest bless essence vesting,es,3
pressing process aggressively interest suggest messing impression rest,es,4
progress crest responsively succession west bestow assess confession lesson establish,es,4
possession pest express fresh flesh press guess dress obsessively,es,4
guessing expression recession bless caress jest vessel profession quest,es,4
rescue address expressively blessing regress less suppression resources transgression,es,4
yes assessment redress resting testing these establishment eschew mess,es,4
excessively profess compress dressing result test essence gesture oppression,es,4
depression best contest essentially possessively investment vesting nesting,es,4
impressively nestle transgress professionally progressively suppress harvest vest request,es,4
recession aggressively dressing vesting transgress esteem address essentially,es,4
torn fork pore cord port work word nor form,or,0
worn horn or gore core more tore ore,or,0
born lord fort sore wore fore bore corn for,or,0
fort cord horn torn wore work or worm sore,or,0
fore sore work torn gore tore worn wore,or,0
core tore more born gore or worn worm,or,0
lord tore wore ore or sore born for worn core,or,0
ore born more orb nor horn lord worn work wore,or,0
tore born lord horn wore gore corn core more,or,0
form fort bore corn tore or orb word sore,or,0
horse core form forge ore tore fort worm bore record,or,1
morph border torn or moral word order nor forest,or,1
inform wore story storm organ lord lore horn,or,1
forum north for corn pore gore sorry fork,or,1
porch fore orbit worth orb cord resort before,or,1
worry work force born torch sore forte report,or,1
sorry worm corn moral forte inform core wore storm ore,or,1
horn for before report forest orb cord work,or,1
ore work resort inform border north sorry born corn afford,or,1
sore corner orbit forum before inform glory core fore,or,1
worn worth worm tore north electoral more mortal doctoral forge,or,2
for conform fork worry border absorb editorial horn forward perform,or,2
morning word pastoral accord cord fort born record portal,or,2
orbit lord report work force uniform storm restore horse organize,or,2
comfort normal gore memorial formal inform core forum bore port,or,2
resort torn orb porch torch nor reform transform,or,2
organ or wore deform corner before order lore,or,2
story corn forte ore historical sorry moral afford morph glory,or,2
work forge core cord order inform pastoral normal word,or,2
work absorb nor deform force forte historical for forum,or,2
form cord accord word mortal organized force historical before sorry,or,3
glory perform for ore morph reformation horn reform,or,3
inform moral normal proportion enormous comfort port pore pastoral morning,or,3
information absorption wore fork conformation horse torch organize portfolio,or,3
deform core north border resort exploration orchestra tore worth,or,3
important fore afford bore portal or worm corporation editorial,or,3
lore performance transformation subordination restore lord forge conform fort transform,or,3
formal corner corn doctoral order forward orbit electoral worn horizontal,or,3
uniform absorb porch memorial decoration collaboration storm report worry sore,or,3
deportation more story work gore organ authority record,or,3
afford enormously morph normatively transformational editorial memorably horn historically forge,or,4
extraordinarily memorial form deform north lord cord transform exploration horizontal,or,4
reportedly corn wore or performance historical comfortably ore pore,or,4
worm uniform reformation exploratively gore moral editorially forward informationally,or,4
reformatively forum absorption orchestra border sorry deportation inform,or,4
fork corporation forte decoration nor horizontally for resort work born,or,4
important accord before comfort decoratively accordingly mortal lore proportion,or,4
core reform worn restorative organ torn corner organized,or,4
normal formal conformationally worry torch orb glory corporately,or,4
organize portal restore collaboration transportation force performatively authority word transformation,or,4
step stem tent teen term stew text test,te,0
teen tell tent stew tend test step term text stem,te,0
tent text tell test teen step stew stem tend,te,0
step test tent text teen tell tend stew stem term,te,0
text term stew stem tend teen step test,te,0
test tell term text tent tend stem teen stew step,te,0
term teen step tend text test stew tell tent,te,0
stem tend step test text tent term stew tell teen,te,0
stew term tell tend stem tent test step teen text,te,0
teen stem test tent stew text tell term,te,0
water liter inter otter steer stem stew tent,te,1
meter step steel outer later tend alter test,te,1
peter after enter text tell term utter eaten,te,1
later steel water text outer utter otter tent term,te,1
peter after teen water tent voter term alter,te,1
stem tent test tell enter utter water text voter liter,te,1
test inter stew steer meter tend alter stem,te,1
meter text steel inter stem liter water later,te,1
voter stem tend inter peter enter step stew,te,1
tent inter liter alter voter utter later otter,te,1
after chatter scatter tender stew master batter voter center,te,2
test stem eaten term temple butter teen steer,te,2
tend clatter matter glitter better tent bitter meter step stereo,te,2
enter water peter tell liter steel otter utter,te,2
text litter sister critter temper outer inter later,te,2
master outer batter otter meter teen liter peter,te,2
bitter scatter center eaten test step twitter voter inter,te,2
after term critter stew steel tent temper peter alter,te,2
outer teen batter temper stereo eaten stem glitter chatter alter,te,2
water temple teen tell temper matter scatter sister,te,2
term evacuate batter stew butter otter illustrate contemplate stem twitter,te,3
voter liter enter bitter eliminate peter inter steel critter,te,3
interpret collaborate tend utter celebrate temple later statement tell better,te,3
temper outer template matter tender center alternate tent,te,3
master alter eaten steer concentrate text litter letter,te,3
test stereo internet meter chatter step teen water demonstrate,te,3
collaborate celebrate tender term tent eliminate demonstrate temple enter bitter,te,3
delegate tend scatter internet temple stereo illustrate meter peter enter,te,3
batter center statement inter chatter peter bitter twitter,te,3
after teen scatter clatter water sister template litter,te,3
center steel concentrate better statement clatter tend bitter tent,te,4
temptation template batter literature testament after illustrate outer,te,4
contemplation step temple alternate water chatter eliminate test butter,te,4
matter determination interpretation enter inter tell temper delegate voter stereo,te,4
letter text tender meter twitter later utter steer contemplate,te,4
eaten collaborate otter sister critter teen masterpiece term demonstrate,te,4
litter evacuate internet liter alter scatter peter celebrate,te,4
steer collaborate otter inter letter outer master water stereo,te,4
chatter alter voter collaborate batter temple otter term celebrate,te,4
temptation tend temper utter contemplate eaten clatter literature testament peter,te,4
scoff official offstage offload offering aloft offshore coffee,of,0
often loft offer profit off office offside offline,of,0
software aloft soft offering often offline offside offload official offshore,of,0
scoff often profit offal loft coffin official offload office offline,of,0
scoff offshore soft office official aloft off loft profit,of,0
off loft scoff aloft coffin offload profit offline,of,0
profit offline offside official offer scoff loft offshore,of,0
often coffin aloft offline offside coffee software offer,of,0
office offstage often coffee offshore offside aloft offering official soft,of,0
coffin soft offline often official offshore offside offload coffee aloft,of,0
often profoundly profoundness software offer off offline professionally profusely coffin,of,1
scoff loft offal offstage aloft proficiently offload proforma,of,1
profile profession professor office offering proffer profound profane official,of,1
profuse soft profited profiling profit offside coffee professionalism proficiency,of,1
software professor profound profanity professional proficiently professionally soft proficiency office,of,1
profound offal soft profanity profuse profession profane often,of,1
offload scoff profess offline official profusely professionalism professor professionally offering,of,1
off profoundness profited proffer often soft proficiently profane profusely official,of,1
proficiently software profit offer official coffin offstage scoff,of,1
offstage professionally offline professionalism profiling office profit proforma,of,1
profanity profit profiling proficiently profoundly profane profile aloft,of,2
often official professor off profoundness proficiency profound coffin profess professionally,of,2
proforma offer software offstage scoff offshore offering offload profited loft,of,2
profession professional profusely profuse coffee soft offline professionalism offside,of,2
aloft profiling offstage professional profile profanity profession official coffee,of,2
profoundly profound proficiently aloft offshore profoundness offer profanity,of,2
profession offering coffin profiling proficiency official profanity profoundly,of,2
offload official profoundly offering profit profound aloft profusely,of,2
offal offer profound coffee profession often aloft proficiently professionally profusely,of,2
profoundness official proforma profile profiling proficiently off offstage,of,2
official office off profoundness profit proficiently offside coffin,of,3
officiate professionally offal profited profound software profuse profiling,of,3
professional offensively profess proforma often profane offering offstage offload,of,3
proffer aloft profanity proficiency profoundly profession professionalism offer profitable,of,3
officially unofficially profile coffee scoff loft soft offline profusely,of,3
loft profit profuse professionally proffer coffin off professionalism,of,3
professor coffee profoundly offside profiling profusely professional soft profile offstage,of,3
profitably scoff profane soft profession proficiency profitable aloft coffin,of,3
offshore profoundly profitably profusely profit coffin aloft offer,of,3
profession office officiate off profitable software scoff unofficially profound,of,3
officiously profitably profound often official profitability offline professorship,of,4
loft officially profusely offside offshore profit off office,of,4
offering profiling profane officialdom coffee profession profile proficiency,of,4
unofficially proforma officiate professor profuse soft professionally offensively profoundness offstage,of,4
offer professional profited profitable offal scoff proffer professionalism profoundly professedly,of,4
professorship profiling proficiency aloft software offside profusely profit profoundly,of,4
profitably proffer proforma profession proficiently officiate offering software,of,4
professionalism offal offside profited officiate offensively profession coffin,of,4
offensively off offer officialdom official professionally offal proffer,of,4
profoundly proficiency offside profitably officialdom coffee profuse profound often,of,4
weed heed freed fed red led bed seed need,ed,0
need freed led seed fed feed bed treed,ed,0
wed bed need greed weed led heed feed seed treed,ed,0
seed greed heed need speed freed red led wed,ed,0
bed need feed led treed heed speed seed fed greed,ed,0
led need freed treed wed speed red greed,ed,0
need freed treed heed wed deed seed bed,ed,0
greed fed need feed seed weed bed deed led,ed,0
seed need feed freed weed speed heed fed red deed,ed,0
heed speed led wed seed greed feed fed bed,ed,0
fed feeder seed hedge needed treed wedge heed need greed,ed,1
medley cedar edict edited pedal speed medic weed editor bed,ed,1
seeded freed weeded red medal edify led ledge,ed,1
bed heed speed edify wedge freed need medley ledge,ed,1
fed red medic seeded pedal medley medal weed hedge bed,ed,1
greed seed seeded editor ledge edify weed medic red deed,ed,1
need edited medic hedge seed medley wedge editor freed,ed,1
bed led greed ledge feeder wedge fed freed seed,ed,1
edict edify treed need speed wedge red ledge feed fed,ed,1
edited edict speed weeded greed heed medic bed pedal,ed,1
liberated updated hedge medal edify tolerated led moderated related weeded,ed,2
ledge greed pedal freed need elevated bed speed fed graduated,ed,2
medley seed meditate feed medic dedicated heed needed edict gated,ed,2
celebrated deed edited treed dated red stated educated,ed,2
motivated feeder created fated weed generated wedge seeded,ed,2
seeded feeder edify liberated medic wedge meditate fated,ed,2
deed seeded weeded educated bed pedal generated weed dedicated,ed,2
fated freed medic created deed needed treed elevated edify,ed,2
edify speed related led mated liberated seeded created weeded,ed,2
edify updated tolerated heed decorated related motivated graduated greed,ed,2
freed illustrated editor graduated stated mated edited elaborated,ed,3
tolerated congratulated moderated communicated seed dated dedicated treed fated,ed,3
updated edify decorated led wed pedal collaborated ledge,ed,3
generated weeded feeder deed weed medley evaluated animated edict need,ed,3
greed associated concentrated contaminated elevated fascinated educated meditate,ed,3
feed fed needed motivated seeded created cedar speed,ed,3
related exaggerated wedge gated liberated bed medic hedge celebrated medal,ed,3
educated associated exaggerated red liberated generated elaborated updated related stated,ed,3
heed evaluated concentrated medal feeder greed tolerated deed,ed,3
administered animated medley liberated editor elevated weeded tolerated,ed,3
communicated weeded heed congratulated pedal needed elaborated feeder,ed,4
speed medley dedicated concentrated celebrated treed updated motivated led generated,ed,4
weed mated overwhelmed animated associated freed liberated ledge fed,ed,4
decorated dated gated editor cedar bed greed elevated stated,ed,4
wed seed medal related feed created edited exaggerated,ed,4
edict edify need moderated tolerated graduated deed predetermined wedge illustrated,ed,4
hedge medic collaborated demonstrated meditate fascinated medicated educated evaluated,ed,4
medley feed dated cedar educated tolerated contaminated evaluated dedicated created,ed,4
medic greed created educated evaluated motivated medicated seed demonstrated editor,ed,4
predetermined weeded need graduated tolerated congratulated educated edited updated generated,ed,4
crisp miss diss hiss disc mist risk fist his,is,0
gist list disk wrist bliss frisk exist whisk brisk twist,is,0
whisk list wrist risk disk gist mist bliss hiss,is,0
fist whisk disk bliss hiss brisk exist frisk his,is,0
diss gist whisk bliss his wrist mist frisk,is,0
list gist exist brisk diss disc fist crisp bliss mist,is,0
twist risk mist wrist gist brisk whisk miss,is,0
disc this hiss frisk risk his gist diss whisk crisp,is,0
frisk his list mist gist diss brisk this fist,is,0
mist gist twist wrist frisk disk crisp hiss,is,0
listen exist insist risk fission frisk crisp assist persist wrist,is,1
list whisk bliss disk prison wisdom brisk resist,is,1
mist diss miss vision disco grist miser twist,is,1
risen visor bison hiss gist consist crispy disc his fist,is,1
crispy frisk mist his wrist consist crisp brisk,is,1
frisk visor crisp persist twist this bison gist resist,is,1
insist hiss crisp his resist gist mist crispy disc,is,1
frisk fist persist resist disk disc exist prison miss,is,1
twist crispy risk diss assist prison gist his,is,1
whisk this vision insist grist mist prison risk his miser,is,1
crispy dissent wisdom bison bishop disco exist displace whisk distinct,is,2
distill mist persist risen misuse dispute disc prison hiss disguise,is,2
crisp fission dislike frisk gist disrupt listen visor wrist list,is,2
grist insist twist miser assist dismiss vision resist,is,2
brisk this fist dissolve risk disk miss consist display,is,2
disc gist disguise dissolve bison misuse dismiss crisp hiss dissect,is,2
dislike wisdom crispy risk this crisp assist his,is,2
misuse distill brisk exist visor dissent wrist whisk,is,2
risen assist displace disc fist wrist disguise bishop miss,is,2
insist assist disrupt display resist hiss vision distinct disguise risen,is,2
dissent dispute dismiss dismissal grist resist prison visor display,is,3
miss his wrist persistency this frisk assist isolation,is,3
risk discovery consistency disk consist resistivity bishop historical bison bliss,is,3
disc subsistence vision whisk dissolve mist disrupt crispy distribution,is,3
fist disguise distill misuse dissonance listen risen dislike assistant,is,3
brisk displace disco twist distinct resistance dissect miser diss,is,3
gist hiss crisp assistance existence exist insist persist inconsistency wisdom,is,3
dislike crispy exist dissect displace vision insist insistency bliss wisdom,is,3
bliss persistence grist resist dislike this dismissal prison disrupt consist,is,3
existence dissolve list this distinct miss display diss,is,3
persist consist this miss visor resist insistency whisk dismissively discouragement,is,4
dissonance fission resistance inconsistency consistency dismiss frisk distinct dissent insistence,is,4
disorganization hiss risen exist twist disorientation risk assist dissolve,is,4
existence disk diss wrist dissatisfaction disc list discrimination brisk displace,is,4
assistant dissect resistivity disguise persistency discovery bishop bison,is,4
vision historical island consistently subsistence disappointment distill his,is,4
crispy disenchantment persistence disco grist fist dissociation dismissal,is,4
gist dislike listen insistently insist persistently historically display miser,is,4
prison disrupt misuse disillusionment distribution dispute assistance mist,is,4
assist disenchantment bison whisk miss list bishop assistant gist persistency,is,4
kit write cite quite fit bite city bit,it,0
pit it kite lit mite unite sit site,it,0
pit mite bit site fit hit sit wit,it,0
white it wit bite bit pit sit write quite,it,0
kit bite sit nit write wit pit mite quite cite,it,0
lit wit white unite write city nit it bite,it,0
sit city mite kit nit cite pit hit,it,0
quite pit mite nit site sit bite hit,it,0
mite bite city sit nit lit cite it,it,0
cite fit it kite lit nit unite wit,it,0
bite lit twitter bit knitter sit spitter nit,it,1
cite sitter mite glitter site kite write critter,it,1
titbit unite fit kit skitter it fitter white quite city,it,1
bitter hit tidbit hitter litter wit pit fritter,it,1
fitter mite hit write critter knitter lit fritter pit bite,it,1
knitter write cite city white nit wit sit litter unite,it,1
bite kit city litter fit unite mite write lit,it,1
spitter fritter fit knitter white pit sitter skitter cite,it,1
knitter sit unite write bite bitter fritter kite wit,it,1
pit white tidbit skitter hitter titbit litter write cite,it,1
unite hit sit solicit critter vomit fitter spirit visit,it,2
credit tidbit kite submit bite wit site fit debit white,it,2
bitter limit litter quitter pit benefit commit hitter spitter,it,2
knitter inherit quite twitter sitter it lit skitter bit fritter,it,2
merit permit cite habit titbit write glitter exhibit bandit,it,2
limit white solicit kite litter city unite profit pit,it,2
city litter hit unite it kite skitter debit spirit nit,it,2
nit quite bit write debit site permit benefit hit sitter,it,2
limit merit write exhibit wit quite rabbit kit nit mite,it,2
fitter unite wit spitter city critter debit solicit,it,2
limit sitter twitter bitter bandit quitter it bit,it,3
lit skitter critter partition nit requisite literally kit,it,3
exhibition cognitive profit kite bite exhibit submit competition merit spirit,it,3
mite hitter permit solicit wit tradition spitter commit,it,3
spiritual credit intuition rabbit tidbit vomit sit glitter pit titbit,it,3
knitter white habitat cite position inherit visit intuitive unite city,it,3
quite opposition initiative capitalize litter coalition fritter site fit hit,it,3
write benefit expedition definition habit ambition fitter debit condition,it,3
exhibition knitter white intuition bite literally inherit coalition tidbit,it,3
hitter unite pit quite kit ambition partition fit,it,3
commit spiritual coalition habitat skitter composition solicit competition,it,4
definition expedition kit lit debit submit site recomposition kite,it,4
condition habit it rabbit titbit knitter intuition exhibit spirit,it,4
city opposition merit intuitive initiative nit miscomposition permit critter,it,4
bitter bit spitter unite sit white tidbit pit ambition vomit,it,4
visit bite fitter twitter inherit fritter decomposition tradition limit,it,4
sitter literally write exhibition quite quitter fit cognitive,it,4
mite wit bandit hit glitter position supposition requisite capitalize,it,4
presupposition partition disposition hitter cite proposition credit profit benefit,it,4
tradition knitter nit cite proposition exhibition lit capitalize,it,4
tal sal fall call salt small also mall,al,0
halt wall gal pal malt tall bald shall ball,al,0
tal fall gal ball small salt mall hall pal,al,0
malt also tall sal pal bald ball tal wall,al,0
tal salt also small halt shall mall bald,al,0
mall salt ball fall bald tall wall gal,al,0
call also gal bald sal pal wall ball shall mall,al,0
pal sal tal bald gal mall ball halt fall,al,0
bald call malt pal salt gal halt tal sal small,al,0
fall salt malt small hall mall tall also ball shall,al,0
altar allay alpha alert gal fall shall already,al,1
algae almost salt call pal bald small alto,al,1
also alone aloft alien mall alter ball tal,al,1
hall aloud alias allow along halt align malt album sal,al,1
tall aloud mall fall allow alter alpha gal album,al,1
along album salt shall alpha alto tall aloft,al,1
call hall alter album ball alias already bald malt alone,al,1
altar alpha sal alien alert alto wall allay tal,al,1
pal altar wall alien fall along allow halt alto,al,1
align pal salt tal ball gal sal wall alone,al,1
alpha recall hall altogether fall call alternating tal allocation wall,al,2
algebra small allay halt alien malt alone shall alphabetical,al,2
alto pal alcohol alternative sal already catalog tall alteration install,al,2
aloud along although aloft gal almanac exhale alphanumeric align allow,al,2
alias album alert balance altar almost ball always bald,al,2
alternating allay along allocation always also alone recall wall,al,2
hall alter exhale alteration also alpha aloft sal,al,2
almanac gal along allow malt alcohol alternating alternative,al,2
algebra tal shall small algae install bald alteration almanac,al,2
tall along recall always install shall allocation alert tal align,al,2
allocation allow align alternate fundamental always alias political call almost,al,3
hall exhale recall algorithm salt aloud algebra alert,al,3
natural medical sal catalog altar halt ball alteration,al,3
tall already along almanac alter alone algae cultural,al,3
horizontal alien altogether alternating balance tal shall although logical aloft,al,3
alto wall national pal install alphabetical cataloging alpha gal fall,al,3
small bald substantial allay alcohol ethical calculation physical,al,3
alphanumeric album also analytical malt mall lateral alternative rational,al,3
halt alphabetical algebra alcohol alternating alien gal algorithm aloft medical,al,3
analytical balance aloft call almost alter ethical medical physical,al,3
algebra calculation alien catalog culturally ball algorithm natural,al,4
national fall call financially materially politically although rationally tall already,al,4
allay allow small altogether substantially ethically alpha malt,al,4
analytically aloft salt almanac categorically fundamentally alone mall along,al,4
alteration analytical nationally alphabetical recall physical bald algorithmically alternate wall,al,4
algae medically political logically alphanumeric also alternating laterally horizontal,al,4
almost alternative aloud alias balance rational alto pal,al,4
align professionally halt gal cataloging ethical exhale naturally always alter,al,4
cultural alternatively tal sal hall shall logical alcohol,al,4
medical substantial alert alphabetically album fundamental allocation install lateral physically,al,4
car star far bark par dark farm tar are harm,ar,0
jar ear mark lark war bar yarn park hark,ar,0
bar park dark par harm hark far mark jar yarn,ar,0
harm par war car tar dark park yarn hark farm,ar,0
tar farm dark par bar mars car harm,ar,0
war bark are far mars car jar tar park ear,ar,0
car tar park par bar are mars jar,ar,0
far harm ear star bark tar dark jar car,ar,0
park par lark harm yarn dark star ear are,ar,0
lark jar mars par ear far farm mark war,ar,0
harm large sharp cargo park mars yarn far share,ar,1
bar jar mark argue ear star apart tar,ar,1
start smart bark glare par scare hark spare,ar,1
stare march dark war guard car snare are flare lark,ar,1
far star war car march harm stare jar flare farm,ar,1
lark farm park far ear sharp dark jar star smart,ar,1
dark smart sharp share yarn scare flare large,ar,1
hark spare smart stare par large bark park,ar,1
glare harm farm sharp scare share hark bark,ar,1
spare farm glare jar cargo yarn park smart war,ar,1
par mark spare farm war start largely mars,ar,2
scare march target pardon car dark cargo star,ar,2
jar ear hark flare sharp rarely garnet glare,ar,2
tar narrow marvel carbon bark warmly snare argue market,ar,2
smart garden are partly large harm far guard yarn,ar,2
parcel stare darkly early bar hardly lark harbor,ar,2
par farm warmly park target glare large spare early hark,ar,2
warmly carbon glare war ear hark large parcel hardly argue,ar,2
start darkly hark stare par partly apart mars scare bark,ar,2
market lark mark jar march park glare farm,ar,2
stardust apart partly far tar target bar early,ar,3
large cargo harm yarn apartment garnet par marvel darkly park,ar,3
glare spectacular lark popular carbon guardian star dark arbitrary farm,ar,3
jar flare cartilage dictionary start car departure hardly narrative,ar,3
stare war remarkable spare mars molecular parcel share regular,ar,3
mark ear rarely harbor pardon garden argue guard narrow,ar,3
bark circular snare march smart are vocabulary military similar,ar,3
hark barely articulate warmly scare largely sharp particular,ar,3
yarn apart barely rarely ear sharp remarkable war,ar,3
largely garden departure warmly carbon argue stardust flare,ar,3
popular particularly guardian articularly target sharp flare bark car,ar,4
smart carbon parcel argue market hardly guardianship darkly,ar,4
mars regular stare spectacular yarn military harbor garnet departmentally warmly,ar,4
arbitrarily dictionary early bar glare war molecular vocabulary,ar,4
guard apart spare cartilagenous particular lark snare remarkable park,ar,4
rarely large pardon harm march farm extraordinarily start,ar,4
remarkably apartment familiar articulate mark marvel dark star jar ear,ar,4
stardust cargo departure tar barely partly similar documentary are scare,ar,4
narrative largely circular narrow garden share hark far,ar,4
share carbon cartilage rarely are sharp dictionary far darkly guard,ar,4
vest star gust bust rest stack just stew test stir,st,0
best west stem stick pest stab stay step stop fist,st,0
stew rest pest stay stack test star stab just,st,0
step stack best stop bust stir stem rest vest west,st,0
bust rest stew pest stay best stack stem,st,0
stew gust stem just stir stay test bust pest,st,0
best stab rest stick fist step star gust stay stew,st,0
stack west just stir best stew rest pest stab,st,0
stick stab stir west fist bust gust step rest,st,0
fist pest just stay stick west best stop,st,0
test best struck storm stick strict stay stream stray,st,1
start stir west vest straw fist stone stew star,st,1
step staff store sting stress strong steel stack,st,1
rest bust street stop gust stab strip strap,st,1
struck just west stew fist stir stack store stab bust,st,1
bust gust stop pest fist stir staff west stream,st,1
struck staff best sting stack straw stem stone stream fist,st,1
struck sting step stream stop pest stem start,st,1
rest stump star stretch just stray stress start strong fist,st,1
just storm steel stress pest stay stew strap strict,st,1
strict status stem strive stream static steel step,st,2
stale stage stray stay stress struck pest just rest vest,st,2
star stable stretch fist store stab stack staff,st,2
strong start strip stole stand stuff street stir,st,2
west stump storm stick best strap sturdy stone test,st,2
stew bust stored steady gust study straw stake stop,st,2
status sting fist stay staff stole stress state stretch,st,2
staff rest strip storm status stray star stew fist stored,st,2
strap stir stable stem stored stump status stew,st,2
stray steady vest stand stretch stump test staff step star,st,2
strong struck establish stew stone vest exhaustion study straw strip,st,3
stop status stage state insistent distinguish masterful step strive bust,st,3
stretch stored sturdy stuff pest best structure stump,st,3
stale test stem strategy fist installment adjustment stable,st,3
sting stand stake stay west just store suggestion staff,st,3
steady stir stray disaster constitution stress stole restoration rest,st,3
strict static stream style stack star customer strap,st,3
gust substitution stab frustration stationed investment illustration stick street start,st,3
struck substitution just staff sturdy stretch west rest state,st,3
strict stationed stop exhaustion stress straw stem test,st,3
study substitution suggestion restrictively substantially stir vest destructively,st,4
stake bust state customer steel strict frustration stationed constrictively,st,4
structurally systematically constitutionally stab star distinguish establish stone institutionally,st,4
style fist statistically sturdy static storm straw stress instrumentally constitution,st,4
steady strategically stack masterful strategy stump installment adjustment strive stale,st,4
step just store test stand stored stole persistently stick,st,4
stop west stem stage consistently instructively strategic best investment,st,4
stew street start constructively stuff struck gust disaster rest stretch,st,4
insistent strip stay exhaustion pest sting stable structure strap,st,4
illustration vest storm structure stem constrictively store stack staff frustration,st,4
torn told tot tow toe took toy toss toxic,to,0
toil total top token tone tong topic tool tomb,to,0
tong toy total token top tow toe toil took,to,0
tow tot toxic told topic toil tomb tool tone torn,to,0
tot top tone town ton toil topic tong torn took,to,0
town tone tong told total toss torn top tow tot,to,0
tow toe total tool told toil token topic,to,0
tool token torn total toxic toy tow tomb top,to,0
tool toxic toil tomb tong toss took tot token,to,0
tomb toil toy told town toe toxic tot tow total,to,0
toaster tobacco together tone told tow today tornado topic toe,to,1
tong tot toward toque toxic toy toil tolling tool took,to,1
tossing toss tomato tomb token totem torrent torpedo,to,1
town torch torn tonal toiling torment total totally ton topping,to,1
token toy topic tolling tot tobacco tow tomato totem,to,1
tone tomato torpedo together toss topic torment toiling total town,to,1
toy ton torpedo total tobacco took toxic tossing toss toaster,to,1
tobacco toaster told tossing toiling took toward toe,to,1
token tonal tow total toy toward ton torch,to,1
totem tossing total torrent tow torn toque tomato,to,1
ton totem victor toward torn tone together town toe,to,2
torrent toss sector tool grotto tutor vector doctor tot torpedo,to,2
torment tonal torch tornado tomb cotton topaz toaster toxic topping,to,2
rector totally actor toil today toque topic toy tomato bottom,to,2
tossing tong total motor tow tobacco visitor top debtor,to,2
told took token tolling mentor factor toiling button,to,2
sector tool tobacco toque tomato token totem grotto,to,2
town victor tutor tool tossing top tow sector topaz,to,2
told today tow tolling torment tornado together tonal top topic,to,2
toque top toe grotto tow sector torment tonal,to,2
debtor factorial tot victor topaz bottom tool toiling toe,to,3
instructor altogether tossing torn totally toss photon toil toy,to,3
tolling tomato visitor town button toward toxic mentor token vector,to,3
total tomb toque torment tone tutor tonal doctored,to,3
rector tornado grotto motorcycle motor sector torch topic ton topping,to,3
tomorrow top torpedo cotton tong together doctor tow,to,3
notorious totem torrent today tobacco actor autonomous toaster told factor,to,3
told toss torpedo today toaster autonomous factorial tolling doctored,to,3
town altogether tomorrow toxic tolling together toil told,to,3
toque sector torpedo tomorrow tonal toaster doctored tomato took,to,3
rector tow tong sector actor motorcycle tonal automatically tool torpedo,to,4
topping notorious torment torrent toe today total autonomous motor told,to,4
totem button doctored tot factorial tomb doctor token photon ton,to,4
toaster tomato stochastic tutor torn visitor toiling factor grotto toward,to,4
bottom together totally toil topaz vector toxic town took topic,to,4
instructor altogether tornado top mentor debtor toque tobacco,to,4
toy tomorrow torch tolling tone tossing victor cotton toss,to,4
torpedo torch debtor instructor victor toxic tomorrow button tone,to,4
total sector tomb toil actor notorious topic visitor instructor toe,to,4
torn notorious toxic tossing toaster topaz top torch toil tone,to,4
meant mint pint rent spent cent dent ant vent went,nt,0
pint spent meant tent went rent hint lent rant,nt,0
gent meant bent cent pint went mint vent sent,nt,0
lent ant vent cent pint tent meant mint rent scent,nt,0
pint meant dent sent scent lent hint mint went,nt,0
ant cent lent vent gent mint sent pint spent hint,nt,0
lent mint rent vent scent pint dent rant gent bent,nt,0
hint rant mint sent gent tent bent cent,nt,0
went scent mint lent ant pint meant rent cent spent,nt,0
rent vent hint bent rant sent lent mint ant,nt,0
cent gent ant sent rant dent intent mint intern rent,nt,1
inter hint intone lent meant pint onto bent scent went,nt,1
ant intent tent bent gent dent pint onto inter intern,nt,1
hint rant into meant intone intact onto spent,nt,1
rant vent onto inter scent bent hint gent went,nt,1
intern went pint intent ant rant vent mint,nt,1
onto bent scent cent lent intern intact rant invent,nt,1
onto bent dent tent meant cent scent intact intern gent,nt,1
went lent pint gent bent unto spent rent hint,nt,1
inter into lent dent hint cent rent ant gent onto,nt,1
lent invent interest meant intern vent rent internal,nt,2
dent went mint sent intuition intend bent onto interval,nt,2
intent pint cent integer hint intense interview unto inter,nt,2
